,QSO,z,DEC,RA,Date,File Paths
311,J005814+011530,2.507718,+01:15:51.4,00:58:14.51,2003-12-20,/global/homes/m/myers617/KODIAQ_DR3/KODIAQ_DR3/J005814+011530/Prochaska_20031220/J005814+011530_cont.fits
340,J134002+110630,2.926218,+11:06:29.6,13:40:02.44,2001-01-22,/global/homes/m/myers617/KODIAQ_DR3/KODIAQ_DR3/J134002+110630/Wolfe_20010122/J134002+110630_cont.fits
342,J135317+532825,2.912032,+53:28:27.5,13:53:17.20,2008-03-05,/global/homes/m/myers617/KODIAQ_DR3/KODIAQ_DR3/J135317+532825/Wolfe_20080305/J135317+532825_cont.fits
348,J082638+515233,2.826976,+51:52:29.7,08:26:39.30,2004-02-18,/global/homes/m/myers617/KODIAQ_DR3/KODIAQ_DR3/J082638+515233/Wolfe_20040218/J082638+515233_cont.fits
350,J160103+341025,2.978069,+34:08:47.5,16:00:53.89,2008-02-29,/global/homes/m/myers617/KODIAQ_DR3/KODIAQ_DR3/J160103+341025/Tytler_20080228/J160103+341025_cont.fits
353,J000838-005156,2.88924,-00:51:55.7,00:08:38.30,2011-10-25,/global/homes/m/myers617/KODIAQ_DR3/KODIAQ_DR3/J000838-005156/Martin_20111025/J000838-005156_cont.fits
360,J121924+002641,2.5639,+00:26:41.5,12:19:24.21,2012-04-25,/global/homes/m/myers617/KODIAQ_DR3/KODIAQ_DR3/J121924+002641/Martin_20120425/J121924+002641_cont.fits
365,J145624+040741,2.904571,+04:07:44.5,14:56:23.97,2008-05-08,/global/homes/m/myers617/KODIAQ_DR3/KODIAQ_DR3/J145624+040741/Sargent_20080508/J145624+040741_cont.fits
369,J130348+283324,2.688079,+28:31:31.1,13:03:40.47,2008-02-28,/global/homes/m/myers617/KODIAQ_DR3/KODIAQ_DR3/J130348+283324/Tytler_20080228/J130348+283324_cont.fits
379,J120802+630328,2.564745,+63:03:17.8,12:08:01.73,2006-03-05,/global/homes/m/myers617/KODIAQ_DR3/KODIAQ_DR3/J120802+630328/Wolfe_20060305/J120802+630328_cont.fits
388,J215727+001558,2.556606,+00:15:55.9,21:57:26.93,2006-11-18,/global/homes/m/myers617/KODIAQ_DR3/KODIAQ_DR3/J215727+001558/Martin_20061118/J215727+001558_cont.fits
393,J000839-005336,2.625225,-00:53:33.7,00:08:39.24,2011-10-25,/global/homes/m/myers617/KODIAQ_DR3/KODIAQ_DR3/J000839-005336/Martin_20111025/J000839-005336_cont.fits
419,J203642-055300,2.586148,-05:52:51.5,20:36:41.76,2004-09-10,/global/homes/m/myers617/KODIAQ_DR3/KODIAQ_DR3/J203642-055300/Prochaska_20040910/J203642-055300_cont.fits
426,J022513+004742,2.699863,+00:47:47.1,02:25:13.19,2006-11-19,/global/homes/m/myers617/KODIAQ_DR3/KODIAQ_DR3/J022513+004742/Martin_20061118/J022513+004742_cont.fits
437,J091044+261253,2.942491,+26:12:52.9,09:10:45.31,2000-12-31,/global/homes/m/myers617/KODIAQ_DR3/KODIAQ_DR3/J091044+261253/Becker_20001229/J091044+261253_cont.fits
442,J163434+392022,2.796,+39:26:32.3,16:32:51.74,2000-08-02,/global/homes/m/myers617/KODIAQ_DR3/KODIAQ_DR3/J163434+392022/Tytler_20000802/J163434+392022_cont.fits
447,J091247-004717,2.870407,-00:47:23.2,09:12:48.02,2003-12-20,/global/homes/m/myers617/KODIAQ_DR3/KODIAQ_DR3/J091247-004717/Prochaska_20031220/J091247-004717_cont.fits
449,J081240+320808,2.703164,+32:08:03.5,08:12:40.71,2001-01-22,/global/homes/m/myers617/KODIAQ_DR3/KODIAQ_DR3/J081240+320808/Wolfe_20010122/J081240+320808_cont.fits
468,J113508+222715,2.88,+22:27:06.8,11:35:08.03,2001-01-22,/global/homes/m/myers617/KODIAQ_DR3/KODIAQ_DR3/J113508+222715/Wolfe_20010122/J113508+222715_cont.fits
472,J082239+173122,2.71271,+17:31:26.3,08:22:29.04,2008-02-29,/global/homes/m/myers617/KODIAQ_DR3/KODIAQ_DR3/J082239+173122/Tytler_20080228/J082239+173122_cont.fits
